filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x800e59 	
| V:1 D:0 Tag: 0x80194f 	
| V:1 D:0 Tag: 0x8018b7 	
| V:1 D:0 Tag: 0x8018b6 	
| V:1 D:0 Tag: 0x8018b5 	
| V:1 D:0 Tag: 0x8018b4 	
| V:1 D:0 Tag: 0x8018b3 	
| V:1 D:0 Tag: 0x8018b2 	
| V:1 D:0 Tag: 0x8018b1 	
| V:1 D:0 Tag: 0x8018b0 	
| V:1 D:0 Tag: 0x80195b 	
| V:1 D:0 Tag: 0x80195a 	
| V:1 D:0 Tag: 0x801959 	
| V:1 D:0 Tag: 0x801993 	
| V:1 D:0 Tag: 0x801992 	
| V:1 D:0 Tag: 0x801991 	
| V:1 D:0 Tag: 0x801957 	
| V:1 D:0 Tag: 0x801975 	
| V:1 D:0 Tag: 0x801956 	
| V:1 D:0 Tag: 0x8018ad 	
| V:1 D:0 Tag: 0x8018c0 	
| V:1 D:0 Tag: 0x8019b1 	
| V:1 D:0 Tag: 0x8018bf 	
| V:1 D:0 Tag: 0x80186f 	
| V:1 D:0 Tag: 0x80186e 	
| V:1 D:0 Tag: 0x80186d 	
| V:1 D:0 Tag: 0x80186c 	
| V:1 D:0 Tag: 0x80186a 	
| V:1 D:0 Tag: 0x801869 	
| V:1 D:0 Tag: 0x801868 	
| V:1 D:0 Tag: 0x80199d 	
| V:1 D:0 Tag: 0x801871 	
| V:1 D:0 Tag: 0x801867 	
| V:1 D:0 Tag: 0x801866 	
| V:1 D:0 Tag: 0x801860 	
| V:1 D:0 Tag: 0x80185f 	
| V:1 D:0 Tag: 0x80185e 	
| V:1 D:0 Tag: 0x80185d 	
| V:1 D:0 Tag: 0x80185c 	
| V:1 D:0 Tag: 0x80185b 	
| V:1 D:0 Tag: 0x80185a 	
| V:1 D:0 Tag: 0x8005d9 	
| V:1 D:0 Tag: 0x8005d8 	
| V:1 D:0 Tag: 0x800282 	
| V:1 D:0 Tag: 0x800254 	
| V:1 D:0 Tag: 0x800253 	
| V:1 D:0 Tag: 0x800257 	
| V:1 D:0 Tag: 0x800256 	
| V:1 D:0 Tag: 0x800dc6 	
| V:1 D:0 Tag: 0x800dc7 	
| V:1 D:0 Tag: 0x800dbe 	
| V:1 D:0 Tag: 0x800dbd 	
| V:1 D:0 Tag: 0x800dbc 	
| V:1 D:0 Tag: 0x800dbb 	
| V:1 D:0 Tag: 0x800dbf 	
| V:1 D:0 Tag: 0x800dba 	
| V:1 D:0 Tag: 0x800db9 	
| V:1 D:0 Tag: 0x800db6 	
| V:1 D:0 Tag: 0x800255 	
| V:1 D:0 Tag: 0x800288 	
| V:1 D:0 Tag: 0x800287 	
| V:1 D:0 Tag: 0x800629 	
| V:1 D:0 Tag: 0x800628 	
| V:1 D:0 Tag: 0x80062a 	
| V:1 D:0 Tag: 0x800627 	
| V:1 D:0 Tag: 0x800630 	
| V:1 D:0 Tag: 0x80062f 	
| V:1 D:0 Tag: 0x80062e 	
| V:1 D:0 Tag: 0x80062d 	
| V:1 D:0 Tag: 0x80088c 	
| V:1 D:0 Tag: 0x800dd0 	
| V:1 D:0 Tag: 0x800dcf 	
| V:1 D:0 Tag: 0x800dce 	
| V:1 D:0 Tag: 0x800dd1 	
| V:1 D:0 Tag: 0x800df6 	
| V:1 D:0 Tag: 0x800df5 	
| V:1 D:0 Tag: 0x800df4 	
| V:1 D:0 Tag: 0x800df3 	
| V:1 D:0 Tag: 0x800df7 	
| V:1 D:0 Tag: 0x800df2 	
| V:1 D:0 Tag: 0x800df1 	
| V:1 D:0 Tag: 0x800dcd 	
| V:1 D:0 Tag: 0x800dcc 	
| V:1 D:0 Tag: 0x800dcb 	
| V:1 D:0 Tag: 0x80062c 	
| V:1 D:0 Tag: 0x800626 	
| V:1 D:0 Tag: 0x800625 	
| V:1 D:0 Tag: 0x800624 	
| V:1 D:0 Tag: 0x800623 	
| V:1 D:0 Tag: 0x800622 	
| V:1 D:0 Tag: 0x800d73 	
| V:1 D:0 Tag: 0x800d72 	
| V:1 D:0 Tag: 0x800d71 	
| V:1 D:0 Tag: 0x800d70 	
| V:1 D:0 Tag: 0x800d6f 	
| V:1 D:0 Tag: 0x800d6e 	
| V:1 D:0 Tag: 0x800d6d 	
| V:1 D:0 Tag: 0x800621 	
| V:1 D:0 Tag: 0x800281 	
| V:1 D:0 Tag: 0x800280 	
| V:1 D:0 Tag: 0x80027f 	
| V:1 D:0 Tag: 0x800273 	
| V:1 D:0 Tag: 0x800272 	
| V:1 D:0 Tag: 0x80044d 	
| V:1 D:0 Tag: 0x80044c 	
| V:1 D:0 Tag: 0x80044b 	
| V:1 D:0 Tag: 0x800447 	
| V:1 D:0 Tag: 0x800446 	
| V:1 D:0 Tag: 0x800445 	
| V:1 D:0 Tag: 0x800461 	
| V:1 D:0 Tag: 0x80045f 	
| V:1 D:0 Tag: 0x800454 	

=========================L1D=========================
Index: 0x0 | V:1 D:1 Tag: 0x407ffd4 	
| V:1 D:1 Tag: 0x407ffd9 	
| V:1 D:1 Tag: 0x407ffd8 	
| V:1 D:1 Tag: 0x407ffd7 	
| V:1 D:0 Tag: 0x804a47 	
| V:1 D:1 Tag: 0x804a49 	
| V:1 D:0 Tag: 0x804a44 	
| V:1 D:0 Tag: 0x804a36 	
| V:1 D:1 Tag: 0x804a38 	
| V:1 D:1 Tag: 0x407ffd5 	
| V:1 D:1 Tag: 0x407ffd3 	
| V:1 D:1 Tag: 0x804a33 	
| V:1 D:1 Tag: 0x804a34 	
| V:1 D:1 Tag: 0x407ffcf 	
| V:1 D:1 Tag: 0x407ffd0 	
| V:1 D:1 Tag: 0x804a32 	
| V:1 D:1 Tag: 0x407ffca 	
| V:1 D:1 Tag: 0x407ffcc 	
| V:1 D:1 Tag: 0x80521e 	
| V:1 D:0 Tag: 0x804edf 	
| V:1 D:0 Tag: 0x80521d 	
| V:1 D:0 Tag: 0x804ede 	
| V:1 D:1 Tag: 0x407ffc7 	
| V:1 D:1 Tag: 0x407ffcb 	
| V:1 D:1 Tag: 0x804a37 	
| V:1 D:1 Tag: 0x407ffc6 	
| V:1 D:0 Tag: 0x804cd5 	
| V:1 D:0 Tag: 0x804cd4 	
| V:1 D:0 Tag: 0x804a1a 	
| V:1 D:0 Tag: 0x804a39 	
| V:1 D:0 Tag: 0x804ccc 	
| V:1 D:0 Tag: 0x804ccb 	
| V:1 D:0 Tag: 0x804a19 	
| V:1 D:0 Tag: 0x804a24 	
| V:1 D:1 Tag: 0x804a26 	
| V:1 D:0 Tag: 0x804a21 	
| V:1 D:0 Tag: 0x804ef0 	
| V:1 D:1 Tag: 0x407ffd2 	
| V:1 D:0 Tag: 0x804eef 	
| V:1 D:1 Tag: 0x8051cf 	
| V:1 D:1 Tag: 0x407ffce 	
| V:1 D:0 Tag: 0x804f6c 	
| V:1 D:0 Tag: 0x804a45 	
| V:1 D:1 Tag: 0x407ffcd 	
| V:1 D:1 Tag: 0x407ffc9 	
| V:1 D:1 Tag: 0x407ffc8 	
| V:1 D:0 Tag: 0x804f07 	
| V:1 D:1 Tag: 0x407ffc3 	
| V:1 D:0 Tag: 0x804cdc 	
| V:1 D:0 Tag: 0x804a17 	
| V:1 D:0 Tag: 0x804a22 	
| V:1 D:0 Tag: 0x804cf9 	
| V:1 D:0 Tag: 0x804cfa 	
| V:1 D:0 Tag: 0x804bb9 	
| V:1 D:0 Tag: 0x804ee1 	
| V:1 D:1 Tag: 0x8049fc 	
| V:1 D:0 Tag: 0x8051ae 	
| V:1 D:1 Tag: 0x8051af 	
| V:1 D:1 Tag: 0x407ffd1 	
| V:1 D:1 Tag: 0x80500b 	
| V:1 D:0 Tag: 0x804e88 	
| V:1 D:0 Tag: 0x804e89 	
| V:1 D:0 Tag: 0x804e87 	
| V:1 D:0 Tag: 0x804986 	
| V:1 D:0 Tag: 0x804cb2 	
| V:1 D:1 Tag: 0x407ffdc 	
| V:1 D:1 Tag: 0x407ffdd 	
| V:1 D:0 Tag: 0x407ffde 	
| V:1 D:1 Tag: 0x407ffdb 	
| V:1 D:1 Tag: 0x407fe94 	
| V:1 D:1 Tag: 0x407fe90 	
| V:1 D:0 Tag: 0x803893 	
| V:1 D:1 Tag: 0x407ffc2 	
| V:1 D:1 Tag: 0x407fe95 	
| V:1 D:1 Tag: 0x407fe93 	
| V:1 D:1 Tag: 0x407fe92 	
| V:1 D:1 Tag: 0x40001d 	
| V:1 D:1 Tag: 0x40001c 	
| V:1 D:1 Tag: 0x407fe8e 	
| V:1 D:0 Tag: 0x804cdd 	
| V:1 D:0 Tag: 0x804a18 	
| V:1 D:1 Tag: 0x407ffc1 	
| V:1 D:0 Tag: 0x804f6d 	
| V:1 D:1 Tag: 0x407fe8f 	
| V:1 D:1 Tag: 0x407feb6 	
| V:1 D:0 Tag: 0x803f5b 	
| V:1 D:0 Tag: 0x804f58 	
| V:1 D:0 Tag: 0x804acc 	
| V:1 D:0 Tag: 0x803f67 	
| V:1 D:0 Tag: 0x804f56 	
| V:1 D:0 Tag: 0x803892 	
| V:1 D:1 Tag: 0x407ffda 	
| V:1 D:0 Tag: 0x804a55 	
| V:1 D:0 Tag: 0x804ee4 	
| V:1 D:0 Tag: 0x804eae 	
| V:1 D:1 Tag: 0x8078d6 	
| V:1 D:0 Tag: 0x804ea4 	
| V:1 D:1 Tag: 0x8078d7 	
| V:1 D:1 Tag: 0x4209e4 	
| V:1 D:1 Tag: 0x410d81 	
| V:1 D:1 Tag: 0x410d82 	
| V:1 D:1 Tag: 0x410d83 	
| V:1 D:1 Tag: 0x410d84 	
| V:1 D:1 Tag: 0x410d85 	
| V:1 D:1 Tag: 0x410d86 	
