filename = Config/Base_32.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x806e 	
| V:1 D:0 Tag: 0x809e 	
| V:1 D:0 Tag: 0x809e 	
| V:1 D:0 Tag: 0x809e 	
| V:1 D:0 Tag: 0x809e 	
| V:1 D:0 Tag: 0x809e 	
| V:1 D:0 Tag: 0x809e 	
| V:1 D:0 Tag: 0x809f 	
| V:1 D:0 Tag: 0x809f 	
| V:1 D:0 Tag: 0x809f 	
| V:1 D:0 Tag: 0x809f 	
| V:1 D:0 Tag: 0x8046 	
| V:1 D:0 Tag: 0x80be 	
| V:1 D:0 Tag: 0x80be 	
| V:1 D:0 Tag: 0x80a1 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80b4 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80ab 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80be 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x809c 	
| V:1 D:0 Tag: 0x809c 	
| V:1 D:0 Tag: 0x809c 	
| V:1 D:0 Tag: 0x809c 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b4 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
