filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x80495b 	
| V:1 D:0 Tag: 0x804131 	
| V:1 D:0 Tag: 0x804130 	
| V:1 D:0 Tag: 0x80412f 	
| V:1 D:0 Tag: 0x80412e 	
| V:1 D:0 Tag: 0x80413d 	
| V:1 D:0 Tag: 0x8040f9 	
| V:1 D:0 Tag: 0x8040f8 	
| V:1 D:0 Tag: 0x8040f1 	
| V:1 D:0 Tag: 0x8040fd 	
| V:1 D:0 Tag: 0x8040f0 	
| V:1 D:0 Tag: 0x8040ef 	
| V:1 D:0 Tag: 0x803256 	
| V:1 D:0 Tag: 0x803255 	
| V:1 D:0 Tag: 0x8031df 	
| V:1 D:0 Tag: 0x8031de 	
| V:1 D:0 Tag: 0x8031e2 	
| V:1 D:0 Tag: 0x8049e8 	
| V:1 D:0 Tag: 0x8049e7 	
| V:1 D:0 Tag: 0x8049ea 	
| V:1 D:0 Tag: 0x8049e9 	
| V:1 D:0 Tag: 0x803f8f 	
| V:1 D:0 Tag: 0x8049e6 	
| V:1 D:0 Tag: 0x8049e5 	
| V:1 D:0 Tag: 0x8049e4 	
| V:1 D:0 Tag: 0x8049e3 	
| V:1 D:0 Tag: 0x8049e2 	
| V:1 D:0 Tag: 0x8031e1 	
| V:1 D:0 Tag: 0x804228 	
| V:1 D:0 Tag: 0x804227 	
| V:1 D:0 Tag: 0x804226 	
| V:1 D:0 Tag: 0x8031dd 	
| V:1 D:0 Tag: 0x8031dc 	
| V:1 D:0 Tag: 0x8031db 	
| V:1 D:0 Tag: 0x80323e 	
| V:1 D:0 Tag: 0x80323d 	
| V:1 D:0 Tag: 0x80323c 	
| V:1 D:0 Tag: 0x80323b 	
| V:1 D:0 Tag: 0x80323a 	
| V:1 D:0 Tag: 0x803239 	
| V:1 D:0 Tag: 0x802d94 	
| V:1 D:0 Tag: 0x802d93 	
| V:1 D:0 Tag: 0x802d92 	
| V:1 D:0 Tag: 0x802d9e 	
| V:1 D:0 Tag: 0x802d9d 	
| V:1 D:0 Tag: 0x802d91 	
| V:1 D:0 Tag: 0x802d90 	
| V:1 D:0 Tag: 0x802d98 	
| V:1 D:0 Tag: 0x802d6e 	
| V:1 D:0 Tag: 0x802d6d 	
| V:1 D:0 Tag: 0x802d7a 	
| V:1 D:0 Tag: 0x802d56 	
| V:1 D:0 Tag: 0x802d58 	
| V:1 D:0 Tag: 0x802d57 	
| V:1 D:0 Tag: 0x802d39 	
| V:1 D:0 Tag: 0x802d38 	
| V:1 D:0 Tag: 0x802d37 	
| V:1 D:0 Tag: 0x803205 	
| V:1 D:0 Tag: 0x80498c 	
| V:1 D:0 Tag: 0x803204 	
| V:1 D:0 Tag: 0x803203 	
| V:1 D:0 Tag: 0x803201 	
| V:1 D:0 Tag: 0x803200 	
| V:1 D:0 Tag: 0x803206 	
| V:1 D:0 Tag: 0x8031fd 	
| V:1 D:0 Tag: 0x8031fc 	
| V:1 D:0 Tag: 0x8031fb 	
| V:1 D:0 Tag: 0x8031fa 	
| V:1 D:0 Tag: 0x802d36 	
| V:1 D:0 Tag: 0x802d3c 	
| V:1 D:0 Tag: 0x802d35 	
| V:1 D:0 Tag: 0x802d34 	
| V:1 D:0 Tag: 0x802d3f 	
| V:1 D:0 Tag: 0x802d3e 	
| V:1 D:0 Tag: 0x802d68 	
| V:1 D:0 Tag: 0x802d67 	
| V:1 D:0 Tag: 0x802d66 	
| V:1 D:0 Tag: 0x803f93 	
| V:1 D:0 Tag: 0x803f92 	
| V:1 D:0 Tag: 0x803f90 	
| V:1 D:0 Tag: 0x802d65 	
| V:1 D:0 Tag: 0x802d64 	
| V:1 D:0 Tag: 0x802d63 	
| V:1 D:0 Tag: 0x802d62 	
| V:1 D:0 Tag: 0x802d61 	
| V:1 D:0 Tag: 0x802d8f 	
| V:1 D:0 Tag: 0x802d8e 	
| V:1 D:0 Tag: 0x802d9c 	
| V:1 D:0 Tag: 0x802d9b 	
| V:1 D:0 Tag: 0x802da2 	
| V:1 D:0 Tag: 0x802d9a 	
| V:1 D:0 Tag: 0x802d99 	
| V:1 D:0 Tag: 0x8040f3 	
| V:1 D:0 Tag: 0x80413a 	
| V:1 D:0 Tag: 0x8048dc 	
| V:1 D:0 Tag: 0x8048db 	
| V:1 D:0 Tag: 0x8048da 	
| V:1 D:0 Tag: 0x8048d9 	
| V:1 D:0 Tag: 0x8048d1 	
| V:1 D:0 Tag: 0x8048d0 	
| V:1 D:0 Tag: 0x804139 	
| V:1 D:0 Tag: 0x804134 	
| V:1 D:0 Tag: 0x804133 	
| V:1 D:0 Tag: 0x804880 	
| V:1 D:0 Tag: 0x80487f 	
| V:1 D:0 Tag: 0x802e14 	
| V:1 D:0 Tag: 0x804888 	
| V:1 D:0 Tag: 0x804889 	
| V:1 D:0 Tag: 0x804887 	
| V:1 D:0 Tag: 0x804884 	
| V:1 D:0 Tag: 0x804883 	
| V:1 D:0 Tag: 0x804882 	
| V:1 D:0 Tag: 0x804881 	
| V:1 D:0 Tag: 0x804886 	

=========================L1D=========================
Index: 0x0 | V:1 D:1 Tag: 0x407ffc9 	
| V:1 D:1 Tag: 0x407ffce 	
| V:1 D:1 Tag: 0x407ffcd 	
| V:1 D:1 Tag: 0x407ffcc 	
| V:1 D:0 Tag: 0x808a2c 	
| V:1 D:1 Tag: 0x808a2e 	
| V:1 D:1 Tag: 0x808a29 	
| V:1 D:0 Tag: 0x808a1b 	
| V:1 D:1 Tag: 0x808a1d 	
| V:1 D:0 Tag: 0x808a18 	
| V:1 D:0 Tag: 0x808a0a 	
| V:1 D:1 Tag: 0x808a0c 	
| V:1 D:0 Tag: 0x808a06 	
| V:1 D:0 Tag: 0x8093aa 	
| V:1 D:1 Tag: 0x407ffc8 	
| V:1 D:1 Tag: 0x407ffc7 	
| V:1 D:0 Tag: 0x8093a8 	
| V:1 D:1 Tag: 0x80e612 	
| V:1 D:1 Tag: 0x407ffc3 	
| V:1 D:1 Tag: 0x407ffbf 	
| V:1 D:0 Tag: 0x809411 	
| V:1 D:1 Tag: 0x808a2a 	
| V:1 D:0 Tag: 0x809410 	
| V:1 D:0 Tag: 0x808a19 	
| V:1 D:0 Tag: 0x808a07 	
| V:1 D:0 Tag: 0x808a08 	
| V:1 D:0 Tag: 0x8093a9 	
| V:1 D:1 Tag: 0x407ffc2 	
| V:1 D:0 Tag: 0x808f3a 	
| V:1 D:0 Tag: 0x808b9e 	
| V:1 D:0 Tag: 0x809396 	
| V:1 D:1 Tag: 0x8089e1 	
| V:1 D:1 Tag: 0x80e5e6 	
| V:1 D:1 Tag: 0x407ffca 	
| V:1 D:1 Tag: 0x407ffc5 	
| V:1 D:1 Tag: 0x407ffc6 	
| V:1 D:1 Tag: 0x8094c7 	
| V:1 D:0 Tag: 0x8090cb 	
| V:1 D:0 Tag: 0x8090cc 	
| V:1 D:0 Tag: 0x8090ca 	
| V:1 D:0 Tag: 0x808931 	
| V:1 D:0 Tag: 0x809392 	
| V:1 D:0 Tag: 0x808ee4 	
| V:1 D:0 Tag: 0x808ee5 	
| V:1 D:0 Tag: 0x80e5e7 	
| V:1 D:1 Tag: 0x407ffd1 	
| V:1 D:1 Tag: 0x407ffd2 	
| V:1 D:1 Tag: 0x407ffd6 	
| V:1 D:1 Tag: 0x80f55d 	
| V:1 D:1 Tag: 0x4800bc 	
| V:1 D:1 Tag: 0x80edb6 	
| V:1 D:1 Tag: 0x400001 	
| V:1 D:1 Tag: 0x80ede0 	
| V:1 D:0 Tag: 0x8091e1 	
| V:1 D:1 Tag: 0x407ffd5 	
| V:1 D:1 Tag: 0x407ffd4 	
