filename = Config/All-FA_32.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x80bdfa 	
| V:1 D:0 Tag: 0x80b220 	
| V:1 D:0 Tag: 0x80b21f 	
| V:1 D:0 Tag: 0x80b21e 	
| V:1 D:0 Tag: 0x80b21d 	
| V:1 D:0 Tag: 0x80b223 	
| V:1 D:0 Tag: 0x80b21c 	
| V:1 D:0 Tag: 0x80b21b 	
| V:1 D:0 Tag: 0x80b21a 	
| V:1 D:0 Tag: 0x80ad33 	
| V:1 D:0 Tag: 0x80ad32 	
| V:1 D:0 Tag: 0x80ae25 	
| V:1 D:0 Tag: 0x80adf4 	
| V:1 D:0 Tag: 0x80adf3 	
| V:1 D:0 Tag: 0x80ad31 	
| V:1 D:0 Tag: 0x80ad30 	
| V:1 D:0 Tag: 0x80ad2f 	
| V:1 D:0 Tag: 0x80ad2e 	
| V:1 D:0 Tag: 0x80ad2d 	
| V:1 D:0 Tag: 0x80ad2c 	
| V:1 D:0 Tag: 0x80ad2b 	
| V:1 D:0 Tag: 0x80ad2a 	
| V:1 D:0 Tag: 0x80ad29 	
| V:1 D:0 Tag: 0x80add4 	
| V:1 D:0 Tag: 0x80add3 	
| V:1 D:0 Tag: 0x80add2 	
| V:1 D:0 Tag: 0x80ae0c 	
| V:1 D:0 Tag: 0x80ae0b 	
| V:1 D:0 Tag: 0x80ae0a 	
| V:1 D:0 Tag: 0x80add0 	
| V:1 D:0 Tag: 0x80adee 	
| V:1 D:0 Tag: 0x80adcf 	
| V:1 D:0 Tag: 0x80ad26 	
| V:1 D:0 Tag: 0x80ad39 	
| V:1 D:0 Tag: 0x80ad38 	
| V:1 D:0 Tag: 0x80ae2a 	
| V:1 D:0 Tag: 0x80ace8 	
| V:1 D:0 Tag: 0x80adad 	
| V:1 D:0 Tag: 0x80adac 	
| V:1 D:0 Tag: 0x80adab 	
| V:1 D:0 Tag: 0x80ada9 	
| V:1 D:0 Tag: 0x80ada7 	
| V:1 D:0 Tag: 0x80ada6 	
| V:1 D:0 Tag: 0x80ada5 	
| V:1 D:0 Tag: 0x80ace7 	
| V:1 D:0 Tag: 0x80ad4b 	
| V:1 D:0 Tag: 0x80ad49 	
| V:1 D:0 Tag: 0x80ad48 	
| V:1 D:0 Tag: 0x80ace6 	
| V:1 D:0 Tag: 0x80ace5 	
| V:1 D:0 Tag: 0x80ace4 	
| V:1 D:0 Tag: 0x80adc9 	
| V:1 D:0 Tag: 0x80adc8 	
| V:1 D:0 Tag: 0x80adc7 	
| V:1 D:0 Tag: 0x80ae62 	
| V:1 D:0 Tag: 0x80ae61 	
| V:1 D:0 Tag: 0x80ae60 	
| V:1 D:0 Tag: 0x80ad40 	
| V:1 D:0 Tag: 0x80ae57 	
| V:1 D:0 Tag: 0x80bb18 	
| V:1 D:0 Tag: 0x80bb17 	
| V:1 D:0 Tag: 0x80bb14 	
| V:1 D:0 Tag: 0x80bb13 	
| V:1 D:0 Tag: 0x80bb12 	
| V:1 D:0 Tag: 0x80bb11 	
| V:1 D:0 Tag: 0x80ae56 	
| V:1 D:0 Tag: 0x80ad3d 	
| V:1 D:0 Tag: 0x80ad3c 	
| V:1 D:0 Tag: 0x80ad3b 	
| V:1 D:0 Tag: 0x80ace2 	
| V:1 D:0 Tag: 0x80ace1 	
| V:1 D:0 Tag: 0x80ace0 	
| V:1 D:0 Tag: 0x80acdf 	
| V:1 D:0 Tag: 0x80acd9 	
| V:1 D:0 Tag: 0x80acd8 	
| V:1 D:0 Tag: 0x80acd7 	
| V:1 D:0 Tag: 0x80acd6 	
| V:1 D:0 Tag: 0x80a86a 	
| V:1 D:0 Tag: 0x80acd5 	
| V:1 D:0 Tag: 0x80acd4 	
| V:1 D:0 Tag: 0x80acd3 	
| V:1 D:0 Tag: 0x80acd2 	
| V:1 D:0 Tag: 0x80acec 	
| V:1 D:0 Tag: 0x80aceb 	
| V:1 D:0 Tag: 0x80acda 	
| V:1 D:0 Tag: 0x80b0ff 	
| V:1 D:0 Tag: 0x809b5c 	
| V:1 D:0 Tag: 0x809b5b 	
| V:1 D:0 Tag: 0x809b5a 	
| V:1 D:0 Tag: 0x809cdf 	
| V:1 D:0 Tag: 0x80bb15 	
| V:1 D:0 Tag: 0x809cde 	
| V:1 D:0 Tag: 0x80bb16 	
