filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x802439 	
| V:1 D:0 Tag: 0x801f15 	
| V:1 D:0 Tag: 0x801f14 	
| V:1 D:0 Tag: 0x801cce 	
| V:1 D:0 Tag: 0x801ccd 	
| V:1 D:0 Tag: 0x801ccc 	
| V:1 D:0 Tag: 0x801ccb 	
| V:1 D:0 Tag: 0x801dc7 	
| V:1 D:0 Tag: 0x801dc6 	
| V:1 D:0 Tag: 0x801dc5 	
| V:1 D:0 Tag: 0x801dc4 	
| V:1 D:0 Tag: 0x80249e 	
| V:1 D:0 Tag: 0x80249d 	
| V:1 D:0 Tag: 0x801dc3 	
| V:1 D:0 Tag: 0x801dc2 	
| V:1 D:0 Tag: 0x801dc1 	
| V:1 D:0 Tag: 0x801cca 	
| V:1 D:0 Tag: 0x801cc9 	
| V:1 D:0 Tag: 0x801cbf 	
| V:1 D:0 Tag: 0x801cbe 	
| V:1 D:0 Tag: 0x801ad5 	
| V:1 D:0 Tag: 0x801ad4 	
| V:1 D:0 Tag: 0x801adb 	
| V:1 D:0 Tag: 0x801ae3 	
| V:1 D:0 Tag: 0x801ad3 	
| V:1 D:0 Tag: 0x801ad2 	
| V:1 D:0 Tag: 0x801e11 	
| V:1 D:0 Tag: 0x801e10 	
| V:1 D:0 Tag: 0x801e14 	
| V:1 D:0 Tag: 0x801e0f 	
| V:1 D:0 Tag: 0x801e0e 	
| V:1 D:0 Tag: 0x801e0d 	
| V:1 D:0 Tag: 0x801e15 	
| V:1 D:0 Tag: 0x801e0c 	
| V:1 D:0 Tag: 0x801e0b 	
| V:1 D:0 Tag: 0x801ad1 	
| V:1 D:0 Tag: 0x800318 	
| V:1 D:0 Tag: 0x80062d 	
| V:1 D:0 Tag: 0x80062c 	
| V:1 D:0 Tag: 0x80062b 	
| V:1 D:0 Tag: 0x800624 	
| V:1 D:0 Tag: 0x800623 	
| V:1 D:0 Tag: 0x801ae9 	
| V:1 D:0 Tag: 0x801ae8 	
| V:1 D:0 Tag: 0x801aec 	
| V:1 D:0 Tag: 0x801ae7 	
| V:1 D:0 Tag: 0x801d6a 	
| V:1 D:0 Tag: 0x801d77 	
| V:1 D:0 Tag: 0x801d79 	
| V:1 D:0 Tag: 0x801d78 	
| V:1 D:0 Tag: 0x801d76 	
| V:1 D:0 Tag: 0x801d75 	
| V:1 D:0 Tag: 0x801d74 	
| V:1 D:0 Tag: 0x801d73 	
| V:1 D:0 Tag: 0x801d72 	
| V:1 D:0 Tag: 0x801d70 	
| V:1 D:0 Tag: 0x801d69 	
| V:1 D:0 Tag: 0x801ae6 	
| V:1 D:0 Tag: 0x801aeb 	
| V:1 D:0 Tag: 0x801aea 	
| V:1 D:0 Tag: 0x801ae5 	
| V:1 D:0 Tag: 0x801ae4 	
| V:1 D:0 Tag: 0x80064c 	
| V:1 D:0 Tag: 0x800963 	
| V:1 D:0 Tag: 0x800962 	
| V:1 D:0 Tag: 0x801cd2 	
| V:1 D:0 Tag: 0x800961 	
| V:1 D:0 Tag: 0x801ac3 	
| V:1 D:0 Tag: 0x801ac2 	
| V:1 D:0 Tag: 0x802d2b 	
| V:1 D:0 Tag: 0x802d2a 	
| V:1 D:0 Tag: 0x802d29 	
| V:1 D:0 Tag: 0x802d28 	
| V:1 D:0 Tag: 0x802d41 	
| V:1 D:0 Tag: 0x802d42 	
| V:1 D:0 Tag: 0x802d40 	
| V:1 D:0 Tag: 0x802d31 	
| V:1 D:0 Tag: 0x802d6d 	
| V:1 D:0 Tag: 0x802d6c 	
| V:1 D:0 Tag: 0x801dd1 	
| V:1 D:0 Tag: 0x801dd0 	
| V:1 D:0 Tag: 0x801dcf 	
| V:1 D:0 Tag: 0x801dce 	
| V:1 D:0 Tag: 0x801dcd 	
| V:1 D:0 Tag: 0x801ddf 	
| V:1 D:0 Tag: 0x801dcc 	
| V:1 D:0 Tag: 0x801dcb 	
| V:1 D:0 Tag: 0x801dca 	
| V:1 D:0 Tag: 0x802d6b 	
| V:1 D:0 Tag: 0x802d6a 	
| V:1 D:0 Tag: 0x8036ab 	
| V:1 D:0 Tag: 0x8036aa 	
| V:1 D:0 Tag: 0x8036a9 	
| V:1 D:0 Tag: 0x8036a6 	
| V:1 D:0 Tag: 0x8036a5 	
| V:1 D:0 Tag: 0x8036a4 	
| V:1 D:0 Tag: 0x802d69 	
| V:1 D:0 Tag: 0x802d84 	
| V:1 D:0 Tag: 0x802d83 	
| V:1 D:0 Tag: 0x802d82 	
| V:1 D:0 Tag: 0x802d81 	
| V:1 D:0 Tag: 0x802d80 	
| V:1 D:0 Tag: 0x802e73 	
| V:1 D:0 Tag: 0x802e41 	
| V:1 D:0 Tag: 0x802d7e 	
| V:1 D:0 Tag: 0x802e16 	
| V:1 D:0 Tag: 0x802e15 	
| V:1 D:0 Tag: 0x802d7d 	
| V:1 D:0 Tag: 0x802d7c 	
| V:1 D:0 Tag: 0x802d7b 	
| V:1 D:0 Tag: 0x802d7a 	
| V:1 D:0 Tag: 0x802d79 	
| V:1 D:0 Tag: 0x802d78 	
| V:1 D:0 Tag: 0x802d77 	
| V:1 D:0 Tag: 0x802e22 	

=========================L1D=========================
Index: 0x0 | V:1 D:1 Tag: 0x407ff84 	
| V:1 D:1 Tag: 0x407ff89 	
| V:1 D:1 Tag: 0x407ff88 	
| V:1 D:1 Tag: 0x407ff87 	
| V:1 D:0 Tag: 0x80657d 	
| V:1 D:1 Tag: 0x80657f 	
| V:1 D:0 Tag: 0x806579 	
| V:1 D:0 Tag: 0x80656b 	
| V:1 D:1 Tag: 0x80656d 	
| V:1 D:1 Tag: 0x407ff85 	
| V:1 D:1 Tag: 0x407ff83 	
| V:1 D:1 Tag: 0x806568 	
| V:1 D:1 Tag: 0x806569 	
| V:1 D:1 Tag: 0x80656a 	
| V:1 D:1 Tag: 0x407ff7f 	
| V:1 D:1 Tag: 0x407ff80 	
| V:1 D:1 Tag: 0x407ff7a 	
| V:1 D:1 Tag: 0x407ff7c 	
| V:1 D:1 Tag: 0x806d26 	
| V:1 D:0 Tag: 0x806b72 	
| V:1 D:0 Tag: 0x806d25 	
| V:1 D:0 Tag: 0x806b71 	
| V:1 D:1 Tag: 0x407ff77 	
| V:1 D:1 Tag: 0x407ff7b 	
| V:1 D:1 Tag: 0x407ff76 	
| V:1 D:0 Tag: 0x8068aa 	
| V:1 D:0 Tag: 0x80654f 	
| V:1 D:0 Tag: 0x80656f 	
| V:1 D:0 Tag: 0x8068a1 	
| V:1 D:0 Tag: 0x80655a 	
| V:1 D:1 Tag: 0x80655c 	
| V:1 D:1 Tag: 0x806557 	
| V:1 D:0 Tag: 0x806ba2 	
| V:1 D:1 Tag: 0x407ff82 	
| V:1 D:0 Tag: 0x806ba1 	
| V:1 D:1 Tag: 0x806cd7 	
| V:1 D:1 Tag: 0x407ff7e 	
| V:1 D:0 Tag: 0x806c17 	
| V:1 D:0 Tag: 0x80657a 	
| V:1 D:0 Tag: 0x80657b 	
| V:1 D:0 Tag: 0x806558 	
| V:1 D:1 Tag: 0x407ff7d 	
| V:1 D:0 Tag: 0x8068cf 	
| V:1 D:0 Tag: 0x8068ce 	
| V:1 D:0 Tag: 0x8066ed 	
| V:1 D:0 Tag: 0x806b8c 	
| V:1 D:1 Tag: 0x806532 	
| V:1 D:1 Tag: 0x806cb6 	
| V:1 D:0 Tag: 0x806b8b 	
| V:1 D:1 Tag: 0x407ff81 	
| V:1 D:1 Tag: 0x806c9d 	
| V:1 D:0 Tag: 0x806a31 	
| V:1 D:0 Tag: 0x806a30 	
| V:1 D:0 Tag: 0x80651b 	
| V:1 D:0 Tag: 0x80685a 	
| V:1 D:0 Tag: 0x806859 	
| V:1 D:0 Tag: 0x806cb7 	
| V:1 D:1 Tag: 0x407ff8c 	
| V:1 D:1 Tag: 0x407ff8d 	
| V:1 D:0 Tag: 0x407ffc9 	
| V:1 D:1 Tag: 0x806cd8 	
| V:1 D:0 Tag: 0x806ba7 	
| V:1 D:1 Tag: 0x806cde 	
| V:1 D:1 Tag: 0x807444 	
| V:1 D:1 Tag: 0x806d9f 	
| V:1 D:1 Tag: 0x806da0 	
| V:1 D:1 Tag: 0x806db2 	
| V:1 D:0 Tag: 0x806dc4 	
| V:1 D:0 Tag: 0x806cdd 	
| V:1 D:0 Tag: 0x806cda 	
| V:1 D:0 Tag: 0x806ba3 	
| V:1 D:0 Tag: 0x806ba4 	
| V:1 D:0 Tag: 0x806ba5 	
| V:1 D:0 Tag: 0x80658b 	
| V:1 D:0 Tag: 0x806b94 	
| V:1 D:1 Tag: 0x806da2 	
| V:1 D:0 Tag: 0x806da5 	
| V:1 D:1 Tag: 0x407ff86 	
| V:1 D:1 Tag: 0x806da4 	
| V:1 D:1 Tag: 0x806da3 	
| V:1 D:1 Tag: 0x806da1 	
| V:1 D:0 Tag: 0x8068a3 	
| V:1 D:0 Tag: 0x80654d 	
| V:1 D:0 Tag: 0x806da6 	
| V:1 D:0 Tag: 0x8068b1 	
| V:1 D:0 Tag: 0x8068b0 	
| V:1 D:0 Tag: 0x806551 	
| V:1 D:0 Tag: 0x806bb9 	
| V:1 D:0 Tag: 0x8068b2 	
| V:1 D:0 Tag: 0x806550 	
| V:1 D:0 Tag: 0x806b93 	
| V:1 D:0 Tag: 0x806d4c 	
| V:1 D:0 Tag: 0x806a55 	
| V:1 D:0 Tag: 0x407ff8b 	
| V:1 D:0 Tag: 0x407ff8a 	
| V:1 D:1 Tag: 0x407ff6a 	
| V:1 D:1 Tag: 0x407ff6b 	
| V:1 D:1 Tag: 0x407ff66 	
| V:1 D:1 Tag: 0x407ff62 	
| V:1 D:1 Tag: 0x407ff65 	
| V:1 D:1 Tag: 0x407ff64 	
| V:1 D:0 Tag: 0x80656c 	
| V:1 D:1 Tag: 0x407ff61 	
| V:1 D:1 Tag: 0x407ff60 	
| V:1 D:1 Tag: 0x407ff5f 	
| V:1 D:1 Tag: 0x407ff5b 	
| V:1 D:0 Tag: 0x806b95 	
| V:1 D:0 Tag: 0x806a90 	
| V:1 D:0 Tag: 0x407ff69 	
| V:1 D:1 Tag: 0x407ff5a 	
| V:1 D:1 Tag: 0x407ff59 	
| V:1 D:1 Tag: 0x407ff5c 	
| V:1 D:1 Tag: 0x806cdf 	
| V:1 D:1 Tag: 0x807443 	
| V:1 D:1 Tag: 0x807578 	
| V:1 D:0 Tag: 0x807457 	
| V:1 D:0 Tag: 0x807456 	
| V:1 D:1 Tag: 0x407ff56 	
| V:1 D:1 Tag: 0x807446 	
| V:1 D:1 Tag: 0x807449 	
| V:1 D:1 Tag: 0x807448 	
| V:1 D:1 Tag: 0x807447 	
| V:1 D:1 Tag: 0x807445 	
| V:1 D:1 Tag: 0x407ff57 	
| V:1 D:1 Tag: 0x80744a 	
| V:1 D:1 Tag: 0x407ff52 	
| V:1 D:0 Tag: 0x806d4e 	
| V:1 D:0 Tag: 0x806ad6 	
| V:1 D:1 Tag: 0x407ff5e 	
| V:1 D:1 Tag: 0x407ff5d 	
| V:1 D:1 Tag: 0x407fe21 	
| V:1 D:1 Tag: 0x407fe22 	
| V:1 D:1 Tag: 0x407fe1e 	
| V:1 D:0 Tag: 0x804a54 	
| V:1 D:1 Tag: 0x407ff4f 	
| V:1 D:1 Tag: 0x407fe20 	
| V:1 D:1 Tag: 0x407fe1f 	
| V:1 D:1 Tag: 0x400277 	
| V:1 D:1 Tag: 0x407fe1c 	
| V:1 D:0 Tag: 0x80654e 	
| V:1 D:1 Tag: 0x407fe44 	
| V:1 D:1 Tag: 0x400276 	
| V:1 D:1 Tag: 0x407ff58 	
| V:1 D:1 Tag: 0x407ff55 	
| V:1 D:1 Tag: 0x407ff54 	
| V:1 D:0 Tag: 0x805c54 	
| V:1 D:0 Tag: 0x806c00 	
| V:1 D:1 Tag: 0x407ff67 	
| V:1 D:0 Tag: 0x806604 	
| V:1 D:0 Tag: 0x805b26 	
| V:1 D:0 Tag: 0x806bfe 	
| V:1 D:0 Tag: 0x806bfd 	
| V:1 D:1 Tag: 0x407ff68 	
| V:1 D:0 Tag: 0x806adf 	
| V:1 D:0 Tag: 0x8049f1 	
| V:1 D:0 Tag: 0x806ade 	
| V:1 D:0 Tag: 0x80785f 	
| V:1 D:0 Tag: 0x806d4b 	
| V:1 D:0 Tag: 0x806b9b 	
