filename = Base.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8026 	
| V:1 D:0 Tag: 0x8026 	
| V:1 D:0 Tag: 0x8028 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8026 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8029 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8011 	
| V:1 D:0 Tag: 0x8011 	
| V:1 D:0 Tag: 0x8011 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x800f 	
| V:1 D:0 Tag: 0x800f 	
| V:1 D:0 Tag: 0x800f 	
=========================L1D=========================
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:0 Tag: 0x806c 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:1 Tag: 0x4008 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8074 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8079 	
| V:1 D:0 Tag: 0x8072 	
| V:1 D:0 Tag: 0x807c 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8061 	
