filename = L2-2way.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x8014 	
| V:1 D:0 Tag: 0x8014 	
| V:1 D:0 Tag: 0x8014 	
| V:1 D:0 Tag: 0x8014 	
| V:1 D:0 Tag: 0x8014 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8004 	
| V:1 D:0 Tag: 0x8004 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8003 	
| V:1 D:0 Tag: 0x8004 	
=========================L1D=========================
| V:1 D:0 Tag: 0x805e 	
| V:1 D:0 Tag: 0x805e 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8139 	
| V:1 D:0 Tag: 0x8139 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x8177 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8116 	
| V:1 D:0 Tag: 0x8116 	
| V:1 D:0 Tag: 0x80d5 	
| V:1 D:0 Tag: 0x80d5 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x4009 	
| V:1 D:0 Tag: 0x8117 	
| V:1 D:0 Tag: 0x8117 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x815a 	
| V:1 D:0 Tag: 0x813d 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x804d 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:1 Tag: 0x804b 	
| V:1 D:0 Tag: 0x8166 	
| V:1 D:0 Tag: 0x8166 	
| V:1 D:0 Tag: 0x804d 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:0 Tag: 0x80e5 	
| V:1 D:0 Tag: 0x80e5 	
| V:1 D:0 Tag: 0x80c4 	
| V:1 D:0 Tag: 0x80c4 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x811c 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x400f 	
| V:1 D:0 Tag: 0x80d6 	
| V:1 D:0 Tag: 0x80d6 	
| V:1 D:0 Tag: 0x8143 	
| V:1 D:0 Tag: 0x8143 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8189 	
| V:1 D:0 Tag: 0x8189 	
| V:1 D:0 Tag: 0x80c3 	
| V:1 D:0 Tag: 0x80c3 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x80f4 	
| V:1 D:0 Tag: 0x80f4 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:0 Tag: 0x8095 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8146 	
| V:1 D:0 Tag: 0x807d 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x812b 	
| V:1 D:0 Tag: 0x812b 	
| V:1 D:0 Tag: 0x811c 	
| V:1 D:0 Tag: 0x811c 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8164 	
| V:1 D:1 Tag: 0x4014 	
| V:1 D:0 Tag: 0x80d1 	
| V:1 D:0 Tag: 0x80d1 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8174 	
| V:1 D:0 Tag: 0x803b 	
| V:1 D:0 Tag: 0x803b 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8189 	
| V:1 D:0 Tag: 0x8189 	
| V:1 D:0 Tag: 0x80d7 	
| V:1 D:0 Tag: 0x807e 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:0 Tag: 0x80ef 	
| V:1 D:0 Tag: 0x80ef 	
| V:1 D:0 Tag: 0x80fe 	
| V:1 D:0 Tag: 0x80fe 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x808c 	
| V:1 D:0 Tag: 0x808c 	
| V:1 D:0 Tag: 0x8189 	
| V:1 D:0 Tag: 0x8189 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:0 Tag: 0x8115 	
| V:1 D:0 Tag: 0x80df 	
| V:1 D:0 Tag: 0x8140 	
| V:1 D:0 Tag: 0x8140 	
| V:1 D:0 Tag: 0x8046 	
| V:1 D:0 Tag: 0x80d6 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x8189 	
| V:1 D:0 Tag: 0x8189 	
| V:1 D:0 Tag: 0x8153 	
| V:1 D:0 Tag: 0x8153 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8168 	
| V:1 D:0 Tag: 0x804a 	
| V:1 D:1 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8101 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x810d 	
| V:1 D:0 Tag: 0x810d 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:1 Tag: 0x407fe 	
| V:1 D:0 Tag: 0x8159 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8098 	
| V:1 D:0 Tag: 0x8098 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8135 	
| V:1 D:0 Tag: 0x803c 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8177 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8142 	
| V:1 D:0 Tag: 0x8142 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:1 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8140 	
| V:1 D:1 Tag: 0x8045 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:0 Tag: 0x804d 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:0 Tag: 0x813d 	
| V:1 D:0 Tag: 0x804c 	
| V:1 D:1 Tag: 0x804c 	
| V:1 D:1 Tag: 0x8045 	
| V:1 D:1 Tag: 0x8045 	
| V:1 D:1 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:1 Tag: 0x8045 	
| V:1 D:1 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x804d 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8045 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x8045 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x804c 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x804c 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x804c 	
| V:1 D:0 Tag: 0x80e4 	
| V:1 D:0 Tag: 0x8130 	
| V:1 D:0 Tag: 0x8130 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8189 	
| V:1 D:0 Tag: 0x8189 	
| V:1 D:0 Tag: 0x8152 	
| V:1 D:0 Tag: 0x806a 	
| V:1 D:0 Tag: 0x812b 	
| V:1 D:0 Tag: 0x806a 	
| V:1 D:0 Tag: 0x80d1 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x4013 	
| V:1 D:0 Tag: 0x400d 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8187 	
| V:1 D:0 Tag: 0x8141 	
| V:1 D:0 Tag: 0x8141 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8188 	
| V:1 D:0 Tag: 0x80fa 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x80db 	
=========================L2==========================
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2037 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2042 	
| V:1 D:0 Tag: 0x2042 	| V:1 D:0 Tag: 0x2061 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x205e 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x205e 	
| V:1 D:0 Tag: 0x1003 	| V:1 D:0 Tag: 0x2052 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2052 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x202a 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:0 Tag: 0x202a 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:0 Tag: 0x2012 	
| V:1 D:0 Tag: 0x2037 	| V:1 D:0 Tag: 0x203f 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2039 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2039 	
| V:1 D:0 Tag: 0x202c 	| V:1 D:0 Tag: 0x2053 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2053 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2055 	
| V:1 D:0 Tag: 0x2050 	| V:1 D:0 Tag: 0x204e 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x203e 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x203e 	
| V:1 D:0 Tag: 0x2031 	| V:1 D:0 Tag: 0x2050 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2031 	
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x2051 	
| V:1 D:0 Tag: 0x2051 	| V:1 D:0 Tag: 0x205b 	
| V:1 D:0 Tag: 0x205b 	| V:1 D:0 Tag: 0x203b 	
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x2041 	
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x2041 	
| V:1 D:0 Tag: 0x2020 	| V:1 D:0 Tag: 0x203c 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2020 	
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x203d 	
| V:1 D:0 Tag: 0x203d 	| V:1 D:0 Tag: 0x1002 	
| V:1 D:0 Tag: 0x2020 	| V:1 D:0 Tag: 0x2043 	
| V:1 D:0 Tag: 0x2047 	| V:1 D:0 Tag: 0x2020 	
| V:1 D:0 Tag: 0x2047 	| V:1 D:0 Tag: 0x202c 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x202d 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x202d 	
| V:1 D:0 Tag: 0x2047 	| V:1 D:0 Tag: 0x203f 	
| V:1 D:0 Tag: 0x2001 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2001 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2001 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2001 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2001 	
| V:1 D:0 Tag: 0x205a 	| V:1 D:0 Tag: 0x205d 	
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2001 	
| V:1 D:0 Tag: 0x2001 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x2062 	| V:1 D:0 Tag: 0x2051 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:0 Tag: 0x2062 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:0 Tag: 0x205b 	
