filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x800a67 	
| V:1 D:0 Tag: 0x8001b0 	
| V:1 D:0 Tag: 0x8001b4 	
| V:1 D:0 Tag: 0x8001af 	
| V:1 D:0 Tag: 0x8001ae 	
| V:1 D:0 Tag: 0x8001ad 	
| V:1 D:0 Tag: 0x800341 	
| V:1 D:0 Tag: 0x8004a4 	
| V:1 D:0 Tag: 0x8004a3 	
| V:1 D:0 Tag: 0x80049b 	
| V:1 D:0 Tag: 0x80049a 	
| V:1 D:0 Tag: 0x800499 	
| V:1 D:0 Tag: 0x800552 	
| V:1 D:0 Tag: 0x800551 	
| V:1 D:0 Tag: 0x800550 	
| V:1 D:0 Tag: 0x80054f 	
| V:1 D:0 Tag: 0x80054e 	
| V:1 D:0 Tag: 0x80054d 	
| V:1 D:0 Tag: 0x800340 	
| V:1 D:0 Tag: 0x80033e 	
| V:1 D:0 Tag: 0x80033d 	
| V:1 D:0 Tag: 0x8001ac 	
| V:1 D:0 Tag: 0x800357 	
| V:1 D:0 Tag: 0x800356 	
| V:1 D:0 Tag: 0x800355 	
| V:1 D:0 Tag: 0x800362 	
| V:1 D:0 Tag: 0x800361 	
| V:1 D:0 Tag: 0x800500 	
| V:1 D:0 Tag: 0x8004ff 	
| V:1 D:0 Tag: 0x8004fe 	
| V:1 D:0 Tag: 0x8004fd 	
| V:1 D:0 Tag: 0x8004fc 	
| V:1 D:0 Tag: 0x8004fb 	
| V:1 D:0 Tag: 0x8004fa 	
| V:1 D:0 Tag: 0x800360 	
| V:1 D:0 Tag: 0x800352 	
| V:1 D:0 Tag: 0x800451 	
| V:1 D:0 Tag: 0x800450 	
| V:1 D:0 Tag: 0x80044f 	
| V:1 D:0 Tag: 0x800351 	
| V:1 D:0 Tag: 0x8005aa 	
| V:1 D:0 Tag: 0x8005a9 	
| V:1 D:0 Tag: 0x8005a7 	
| V:1 D:0 Tag: 0x8005a6 	
| V:1 D:0 Tag: 0x8005a5 	
| V:1 D:0 Tag: 0x800350 	
| V:1 D:0 Tag: 0x80035f 	
| V:1 D:0 Tag: 0x80035e 	
| V:1 D:0 Tag: 0x80035d 	
| V:1 D:0 Tag: 0x80035c 	
| V:1 D:0 Tag: 0x80035b 	
| V:1 D:0 Tag: 0x800363 	
| V:1 D:0 Tag: 0x80035a 	
| V:1 D:0 Tag: 0x800358 	
| V:1 D:0 Tag: 0x80034f 	
| V:1 D:0 Tag: 0x80034e 	
| V:1 D:0 Tag: 0x8001ab 	
| V:1 D:0 Tag: 0x8001aa 	
| V:1 D:0 Tag: 0x8001b1 	
| V:1 D:0 Tag: 0x8001b9 	
| V:1 D:0 Tag: 0x8001a9 	
| V:1 D:0 Tag: 0x8001a8 	
| V:1 D:0 Tag: 0x8004a2 	
| V:1 D:0 Tag: 0x8004a1 	
| V:1 D:0 Tag: 0x8004a0 	
| V:1 D:0 Tag: 0x8004a5 	
| V:1 D:0 Tag: 0x80049f 	
| V:1 D:0 Tag: 0x80049e 	
| V:1 D:0 Tag: 0x80049d 	
| V:1 D:0 Tag: 0x80049c 	
| V:1 D:0 Tag: 0x8001a7 	
| V:1 D:0 Tag: 0x8000a4 	
| V:1 D:0 Tag: 0x8000ae 	
| V:1 D:0 Tag: 0x8000ad 	
| V:1 D:0 Tag: 0x8000aa 	
| V:1 D:0 Tag: 0x8000a9 	
| V:1 D:0 Tag: 0x8001a1 	
| V:1 D:0 Tag: 0x8001a0 	
| V:1 D:0 Tag: 0x8014f8 	
| V:1 D:0 Tag: 0x8014f7 	
| V:1 D:0 Tag: 0x8014f6 	
| V:1 D:0 Tag: 0x8014f5 	
| V:1 D:0 Tag: 0x80150e 	
| V:1 D:0 Tag: 0x80150f 	
| V:1 D:0 Tag: 0x80150d 	
| V:1 D:0 Tag: 0x8014fe 	
| V:1 D:0 Tag: 0x80153a 	
| V:1 D:0 Tag: 0x801539 	
| V:1 D:0 Tag: 0x801538 	
| V:1 D:0 Tag: 0x800462 	
| V:1 D:0 Tag: 0x800461 	
| V:1 D:0 Tag: 0x800460 	
| V:1 D:0 Tag: 0x80045f 	
| V:1 D:0 Tag: 0x80045e 	
| V:1 D:0 Tag: 0x800470 	
| V:1 D:0 Tag: 0x80045d 	
| V:1 D:0 Tag: 0x80045c 	
| V:1 D:0 Tag: 0x80045b 	
| V:1 D:0 Tag: 0x80045a 	
| V:1 D:0 Tag: 0x801537 	
| V:1 D:0 Tag: 0x801c5f 	
| V:1 D:0 Tag: 0x801c5e 	
| V:1 D:0 Tag: 0x801c5d 	
| V:1 D:0 Tag: 0x801c59 	
| V:1 D:0 Tag: 0x801c58 	
| V:1 D:0 Tag: 0x801536 	
| V:1 D:0 Tag: 0x801535 	
| V:1 D:0 Tag: 0x801551 	
| V:1 D:0 Tag: 0x801550 	
| V:1 D:0 Tag: 0x80154f 	
| V:1 D:0 Tag: 0x80154e 	
| V:1 D:0 Tag: 0x80154d 	

=========================L1D=========================
Index: 0x0 | V:1 D:1 Tag: 0x407ffd5 	
| V:1 D:1 Tag: 0x407ffd9 	
| V:1 D:1 Tag: 0x407ffd8 	
| V:1 D:1 Tag: 0x407ffda 	
| V:1 D:0 Tag: 0x8045cc 	
| V:1 D:1 Tag: 0x8045ce 	
| V:1 D:0 Tag: 0x8045c9 	
| V:1 D:0 Tag: 0x8045bb 	
| V:1 D:1 Tag: 0x8045bd 	
| V:1 D:1 Tag: 0x407ffd4 	
| V:1 D:1 Tag: 0x8045b8 	
| V:1 D:1 Tag: 0x8045b9 	
| V:1 D:1 Tag: 0x407ffd0 	
| V:1 D:1 Tag: 0x407ffcf 	
| V:1 D:1 Tag: 0x407ffd1 	
| V:1 D:1 Tag: 0x8045ba 	
| V:1 D:1 Tag: 0x407ffcb 	
| V:1 D:1 Tag: 0x407ffcc 	
| V:1 D:1 Tag: 0x804d26 	
| V:1 D:0 Tag: 0x8049f8 	
| V:1 D:0 Tag: 0x804d25 	
| V:1 D:1 Tag: 0x407ffc7 	
| V:1 D:1 Tag: 0x407ffcd 	
| V:1 D:1 Tag: 0x407ffca 	
| V:1 D:1 Tag: 0x8045bc 	
| V:1 D:0 Tag: 0x804836 	
| V:1 D:0 Tag: 0x80459f 	
| V:1 D:0 Tag: 0x8045be 	
| V:1 D:0 Tag: 0x80482d 	
| V:1 D:0 Tag: 0x8045aa 	
| V:1 D:1 Tag: 0x8045ac 	
| V:1 D:1 Tag: 0x8045a6 	
| V:1 D:0 Tag: 0x804a07 	
| V:1 D:1 Tag: 0x407ffd3 	
| V:1 D:1 Tag: 0x407ffd2 	
| V:1 D:0 Tag: 0x804a05 	
| V:1 D:1 Tag: 0x804cd7 	
| V:1 D:1 Tag: 0x407ffce 	
| V:1 D:0 Tag: 0x804a80 	
| V:1 D:0 Tag: 0x8045ca 	
| V:1 D:1 Tag: 0x407ffc8 	
| V:1 D:1 Tag: 0x407ffc9 	
| V:1 D:0 Tag: 0x804a1b 	
| V:1 D:1 Tag: 0x407ffc4 	
| V:1 D:0 Tag: 0x80483d 	
| V:1 D:0 Tag: 0x80483e 	
| V:1 D:0 Tag: 0x8045a0 	
| V:1 D:0 Tag: 0x804835 	
| V:1 D:0 Tag: 0x80459d 	
| V:1 D:0 Tag: 0x8045a7 	
| V:1 D:0 Tag: 0x8045a8 	
| V:1 D:0 Tag: 0x804a06 	
| V:1 D:0 Tag: 0x80485b 	
| V:1 D:0 Tag: 0x80485a 	
| V:1 D:0 Tag: 0x80473e 	
| V:1 D:0 Tag: 0x8049f9 	
| V:1 D:1 Tag: 0x804581 	
| V:1 D:0 Tag: 0x804cb6 	
| V:1 D:1 Tag: 0x804cb7 	
| V:1 D:1 Tag: 0x804b22 	
| V:1 D:0 Tag: 0x8049e7 	
| V:1 D:0 Tag: 0x8049e8 	
| V:1 D:0 Tag: 0x8049e6 	
| V:1 D:0 Tag: 0x8049f7 	
| V:1 D:0 Tag: 0x804815 	
| V:1 D:1 Tag: 0x407ffdd 	
| V:1 D:1 Tag: 0x407ffde 	
| V:1 D:1 Tag: 0x407ffdc 	
| V:1 D:1 Tag: 0x804d62 	
| V:1 D:1 Tag: 0x804d61 	
| V:1 D:1 Tag: 0x407ffd6 	
| V:1 D:1 Tag: 0x804cd8 	
| V:1 D:0 Tag: 0x804a0b 	
| V:1 D:1 Tag: 0x804d20 	
| V:1 D:0 Tag: 0x804d1f 	
| V:1 D:1 Tag: 0x804daf 	
| V:1 D:0 Tag: 0x804a0c 	
| V:1 D:1 Tag: 0x804cde 	
| V:1 D:0 Tag: 0x804a08 	
| V:1 D:0 Tag: 0x804cdb 	
| V:1 D:1 Tag: 0x804cdf 	
| V:1 D:1 Tag: 0x804dc2 	
| V:1 D:0 Tag: 0x8057dc 	
| V:1 D:0 Tag: 0x804a09 	
| V:1 D:0 Tag: 0x805e00 	
| V:1 D:1 Tag: 0x804d21 	
| V:1 D:0 Tag: 0x400100 	
| V:1 D:1 Tag: 0x407ffc5 	
| V:1 D:0 Tag: 0x8045da 	
| V:1 D:0 Tag: 0x8049fb 	
| V:1 D:0 Tag: 0x8045db 	
| V:1 D:1 Tag: 0x804db1 	
| V:1 D:1 Tag: 0x804db4 	
| V:1 D:1 Tag: 0x804db3 	
| V:1 D:0 Tag: 0x804db2 	
| V:1 D:1 Tag: 0x407ffc6 	
| V:1 D:0 Tag: 0x80482f 	
| V:1 D:0 Tag: 0x80459c 	
| V:1 D:0 Tag: 0x804db6 	
| V:1 D:1 Tag: 0x804db0 	
| V:1 D:1 Tag: 0x407ffc1 	
| V:1 D:0 Tag: 0x80483c 	
| V:1 D:0 Tag: 0x8049fa 	
| V:1 D:0 Tag: 0x805e01 	
| V:1 D:0 Tag: 0x4013f1 	
| V:1 D:0 Tag: 0x806aec 	
| V:1 D:0 Tag: 0x806aee 	
| V:1 D:0 Tag: 0x81877d 	
| V:1 D:0 Tag: 0x81877e 	
| V:1 D:0 Tag: 0x818789 	
| V:1 D:0 Tag: 0x81878a 	
| V:1 D:0 Tag: 0x81878d 	
| V:1 D:0 Tag: 0x81878e 	
| V:1 D:0 Tag: 0x818791 	
| V:1 D:0 Tag: 0x818792 	
| V:1 D:0 Tag: 0x818795 	
| V:1 D:0 Tag: 0x818796 	
| V:1 D:0 Tag: 0x818799 	
| V:1 D:0 Tag: 0x81879a 	
| V:1 D:0 Tag: 0x81879d 	
| V:1 D:0 Tag: 0x81879e 	
| V:1 D:0 Tag: 0x8187a1 	
| V:1 D:0 Tag: 0x8187a2 	
| V:1 D:0 Tag: 0x8187a5 	
| V:1 D:0 Tag: 0x8187a6 	
| V:1 D:0 Tag: 0x8187a9 	
| V:1 D:0 Tag: 0x8187aa 	
| V:1 D:0 Tag: 0x8187b7 	
| V:1 D:0 Tag: 0x8187b8 	
| V:1 D:0 Tag: 0x8187c3 	
| V:1 D:0 Tag: 0x8187c4 	
| V:1 D:0 Tag: 0x8187c7 	
| V:1 D:0 Tag: 0x8187c8 	
| V:1 D:0 Tag: 0x8187cb 	
| V:1 D:0 Tag: 0x8187cc 	
| V:1 D:0 Tag: 0x8187cf 	
| V:1 D:0 Tag: 0x8187d0 	
| V:1 D:0 Tag: 0x8187d3 	
| V:1 D:0 Tag: 0x8187d4 	
| V:1 D:0 Tag: 0x8187d7 	
| V:1 D:0 Tag: 0x8187d8 	
| V:1 D:0 Tag: 0x8187dd 	
| V:1 D:0 Tag: 0x8187de 	
