filename = Config/All-FA_64.txt
L1ICost 1800
L1DCost 1800
I2 Size 65536
L2Cost 550
MainMemoryLatencyCost 50
BandwithCost 225
totalCost 4425
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x808d47 	
| V:1 D:0 Tag: 0x806c45 	
| V:1 D:0 Tag: 0x806c44 	
| V:1 D:0 Tag: 0x805cf3 	
| V:1 D:0 Tag: 0x805cf2 	
| V:1 D:0 Tag: 0x805cd0 	
| V:1 D:0 Tag: 0x805ccb 	
| V:1 D:0 Tag: 0x805cca 	
| V:1 D:0 Tag: 0x805cc9 	
| V:1 D:0 Tag: 0x805cc8 	
| V:1 D:0 Tag: 0x805d70 	
| V:1 D:0 Tag: 0x805d6f 	
| V:1 D:0 Tag: 0x805d45 	
| V:1 D:0 Tag: 0x805d4c 	
| V:1 D:0 Tag: 0x805d43 	
| V:1 D:0 Tag: 0x805d42 	
| V:1 D:0 Tag: 0x805d41 	
| V:1 D:0 Tag: 0x805d40 	
| V:1 D:0 Tag: 0x808ef3 	
| V:1 D:0 Tag: 0x808ef2 	
| V:1 D:0 Tag: 0x808eef 	
| V:1 D:0 Tag: 0x808f15 	
| V:1 D:0 Tag: 0x808f14 	
| V:1 D:0 Tag: 0x808d87 	
| V:1 D:0 Tag: 0x808d86 	
| V:1 D:0 Tag: 0x808d85 	
| V:1 D:0 Tag: 0x808d82 	
| V:1 D:0 Tag: 0x808d81 	
| V:1 D:0 Tag: 0x808d80 	
| V:1 D:0 Tag: 0x808d1d 	
| V:1 D:0 Tag: 0x808d1c 	
| V:1 D:0 Tag: 0x808d17 	
| V:1 D:0 Tag: 0x808d16 	
| V:1 D:0 Tag: 0x808d7f 	
| V:1 D:0 Tag: 0x808d7e 	
| V:1 D:0 Tag: 0x808d7d 	
| V:1 D:0 Tag: 0x808e00 	
| V:1 D:0 Tag: 0x808dff 	
| V:1 D:0 Tag: 0x808e08 	
| V:1 D:0 Tag: 0x808dfe 	
| V:1 D:0 Tag: 0x808dfd 	
| V:1 D:0 Tag: 0x808dfc 	
| V:1 D:0 Tag: 0x808dfb 	
| V:1 D:0 Tag: 0x808df8 	
| V:1 D:0 Tag: 0x808dfa 	
| V:1 D:0 Tag: 0x808df9 	
| V:1 D:0 Tag: 0x808df7 	
| V:1 D:0 Tag: 0x808df5 	
| V:1 D:0 Tag: 0x808def 	
| V:1 D:0 Tag: 0x808e06 	
| V:1 D:0 Tag: 0x808e07 	
| V:1 D:0 Tag: 0x808dbf 	
| V:1 D:0 Tag: 0x808dbe 	
| V:1 D:0 Tag: 0x808dbd 	
| V:1 D:0 Tag: 0x808dc1 	
| V:1 D:0 Tag: 0x808dde 	
| V:1 D:0 Tag: 0x808dcc 	
| V:1 D:0 Tag: 0x808dcb 	
| V:1 D:0 Tag: 0x808dca 	
| V:1 D:0 Tag: 0x808dce 	
| V:1 D:0 Tag: 0x808d1a 	
| V:1 D:0 Tag: 0x808d1b 	
| V:1 D:0 Tag: 0x808d18 	
| V:1 D:0 Tag: 0x808dcd 	
| V:1 D:0 Tag: 0x8030a5 	
| V:1 D:0 Tag: 0x8030a4 	
| V:1 D:0 Tag: 0x8030a3 	
| V:1 D:0 Tag: 0x8030a2 	
| V:1 D:0 Tag: 0x8030ac 	
| V:1 D:0 Tag: 0x8030a0 	
| V:1 D:0 Tag: 0x8030a1 	
| V:1 D:0 Tag: 0x80309f 	
| V:1 D:0 Tag: 0x80309e 	
| V:1 D:0 Tag: 0x808bcc 	
| V:1 D:0 Tag: 0x808bcb 	
| V:1 D:0 Tag: 0x808bca 	
| V:1 D:0 Tag: 0x808bc9 	
| V:1 D:0 Tag: 0x808bc8 	
| V:1 D:0 Tag: 0x808bc7 	
| V:1 D:0 Tag: 0x808bc6 	
| V:1 D:0 Tag: 0x80309d 	
| V:1 D:0 Tag: 0x80309c 	
| V:1 D:0 Tag: 0x80309b 	
| V:1 D:0 Tag: 0x808dc9 	
| V:1 D:0 Tag: 0x808dc8 	
| V:1 D:0 Tag: 0x808dc7 	
| V:1 D:0 Tag: 0x808db6 	
| V:1 D:0 Tag: 0x808db5 	
| V:1 D:0 Tag: 0x808db4 	
| V:1 D:0 Tag: 0x808db3 	
| V:1 D:0 Tag: 0x808db2 	
| V:1 D:0 Tag: 0x808dc2 	
| V:1 D:0 Tag: 0x808dc0 	
| V:1 D:0 Tag: 0x808e05 	
| V:1 D:0 Tag: 0x808dee 	
| V:1 D:0 Tag: 0x808e02 	
| V:1 D:0 Tag: 0x808e01 	
| V:1 D:0 Tag: 0x808dd5 	
| V:1 D:0 Tag: 0x808d79 	
| V:1 D:0 Tag: 0x808d78 	
| V:1 D:0 Tag: 0x808d77 	
| V:1 D:0 Tag: 0x808d76 	
| V:1 D:0 Tag: 0x808d75 	
| V:1 D:0 Tag: 0x808d74 	
| V:1 D:0 Tag: 0x808d73 	
| V:1 D:0 Tag: 0x808dd4 	
| V:1 D:0 Tag: 0x808dd2 	
| V:1 D:0 Tag: 0x808dd1 	
| V:1 D:0 Tag: 0x808dcf 	
| V:1 D:0 Tag: 0x808d9d 	
| V:1 D:0 Tag: 0x808d9c 	
| V:1 D:0 Tag: 0x808d9b 	
| V:1 D:0 Tag: 0x808d8f 	
| V:1 D:0 Tag: 0x808d8e 	
| V:1 D:0 Tag: 0x808d94 	
| V:1 D:0 Tag: 0x808d9a 	
| V:1 D:0 Tag: 0x808d99 	

=========================L1D=========================
Index: 0x0 | V:1 D:1 Tag: 0x407fb46 	
| V:1 D:1 Tag: 0x407fb45 	
| V:1 D:1 Tag: 0x407fb47 	
| V:1 D:0 Tag: 0x810294 	
| V:1 D:0 Tag: 0x824195 	
| V:1 D:0 Tag: 0x81121e 	
| V:1 D:0 Tag: 0x81121b 	
| V:1 D:1 Tag: 0x407fbd7 	
| V:1 D:1 Tag: 0x407fbd9 	
| V:1 D:0 Tag: 0x824194 	
| V:1 D:0 Tag: 0x824196 	
| V:1 D:0 Tag: 0x82419b 	
| V:1 D:1 Tag: 0x407fc76 	
| V:1 D:0 Tag: 0x8117ee 	
| V:1 D:1 Tag: 0x407fe9c 	
| V:1 D:1 Tag: 0x8117ed 	
| V:1 D:1 Tag: 0x407fb4b 	
| V:1 D:1 Tag: 0x407fb48 	
| V:1 D:1 Tag: 0x407fd6d 	
| V:1 D:0 Tag: 0x81121f 	
| V:1 D:1 Tag: 0x407fb41 	
| V:1 D:1 Tag: 0x407fb42 	
| V:1 D:0 Tag: 0x8052de 	
| V:1 D:0 Tag: 0x811085 	
| V:1 D:1 Tag: 0x407fb3d 	
| V:1 D:1 Tag: 0x407fb3e 	
| V:1 D:1 Tag: 0x82419c 	
| V:1 D:1 Tag: 0x407fb3a 	
| V:1 D:1 Tag: 0x8248de 	
| V:1 D:0 Tag: 0x805358 	
| V:1 D:0 Tag: 0x812007 	
| V:1 D:1 Tag: 0x407fdb2 	
| V:1 D:0 Tag: 0x811b58 	
| V:1 D:0 Tag: 0x811084 	
